,57F-18,57F-15,57F-17,57F-66,55F-97
-0.5,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4966887417218543,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.49337748344370863,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4900662251655629,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4867549668874172,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.48344370860927155,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.48013245033112584,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4768211920529801,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4735099337748344,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.47019867549668876,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.46688741721854304,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.46357615894039733,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4602649006622517,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.45695364238410596,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.45364238410596025,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4503311258278146,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4470198675496689,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.44370860927152317,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4403973509933775,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4370860927152318,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4337748344370861,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4304635761589404,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4271523178807947,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.423841059602649,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4205298013245033,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.41721854304635764,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4139072847682119,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4105960264900662,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.4072847682119205,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.40397350993377484,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.40066225165562913,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3973509933774835,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.39403973509933776,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.39072847682119205,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.38741721854304634,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3841059602649007,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.38079470198675497,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.37748344370860926,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3741721854304636,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3708609271523179,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3675496688741722,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.36423841059602646,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3609271523178808,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3576158940397351,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.35430463576158944,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3509933774834437,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.347682119205298,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3443708609271523,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3410596026490066,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.33774834437086093,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3344370860927152,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.33112582781456956,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.32781456953642385,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.32450331125827814,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3211920529801324,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.31788079470198677,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.31456953642384106,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3112582781456954,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.3079470198675497,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.304635761589404,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.30132450331125826,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.29801324503311255,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2947019867549669,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2913907284768212,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2880794701986755,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2847682119205298,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2814569536423841,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2781456953642384,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2748344370860927,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.271523178807947,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.26821192052980136,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.26490066225165565,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.26158940397350994,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2582781456953642,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2549668874172185,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.25165562913907286,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.24834437086092714,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.24503311258278143,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.24172185430463577,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.23841059602649006,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.23509933774834435,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.2317880794701987,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
-0.22847682119205298,9.66553268001489,32.47001259170296,17.97762140193446,12.198098310044035,11.25864847150809
